epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.496,1.29678,2.00977,1.49519,0.35906,0.28949,0.24177,0.1146,1.80537,2.62029,1.87672,0.000332,0.000332,0.000332
2,359.606,1.2843,2.07634,1.50167,0.3233,0.25935,0.19881,0.09647,1.81548,2.68566,1.91231,0.00065216,0.00065216,0.00065216
3,554.944,1.3194,2.1226,1.53309,0.28212,0.27193,0.17918,0.08649,1.85963,2.67114,1.86065,0.000959119,0.000959119,0.000959119
4,748.01,1.33123,2.1223,1.54782,0.33887,0.25941,0.2118,0.09922,1.90884,2.79382,1.95791,0.0009406,0.0009406,0.0009406
5,941.807,1.2695,2.02102,1.5072,0.34005,0.3052,0.23429,0.11691,1.84698,2.51587,1.93122,0.0009208,0.0009208,0.0009208
6,189.029,1.25918,1.88508,1.46611,0.35215,0.31721,0.23898,0.10779,1.884,2.53766,1.97305,0.000901,0.000901,0.000901
7,382.941,1.18627,1.80811,1.43219,0.42162,0.30768,0.27926,0.1351,1.84357,2.4387,1.90598,0.0008812,0.0008812,0.0008812
8,549.065,1.15717,1.73869,1.42068,0.45075,0.32756,0.29431,0.15313,1.74617,2.29952,1.81206,0.0008614,0.0008614,0.0008614
9,690.901,1.16013,1.70693,1.41682,0.43353,0.29493,0.27238,0.13648,1.83953,2.42542,1.95051,0.0008416,0.0008416,0.0008416
10,832.709,1.11695,1.61109,1.38933,0.47275,0.35798,0.31773,0.16451,1.74931,2.22706,1.81989,0.0008218,0.0008218,0.0008218
11,141.657,1.11425,1.53739,1.35787,0.42157,0.30628,0.27355,0.12919,1.84495,2.41806,1.9625,0.000802,0.000802,0.000802
12,283.358,1.06306,1.49935,1.33897,0.46465,0.34944,0.3381,0.17705,1.78051,2.18946,1.85472,0.0007822,0.0007822,0.0007822
13,425.793,1.04471,1.43633,1.33533,0.43331,0.37044,0.3321,0.17608,1.69175,2.11167,1.78841,0.0007624,0.0007624,0.0007624
14,568.034,1.04926,1.42629,1.3312,0.45451,0.34539,0.31702,0.16248,1.79846,2.2966,1.85103,0.0007426,0.0007426,0.0007426
15,709.852,1.01797,1.35167,1.31711,0.47809,0.38129,0.35668,0.18961,1.75189,2.13216,1.8234,0.0007228,0.0007228,0.0007228
16,142.434,1.02489,1.30226,1.29354,0.45634,0.34336,0.32051,0.16667,1.73748,2.33967,1.85986,0.000703,0.000703,0.000703
17,284.823,0.97351,1.24864,1.27396,0.52935,0.36008,0.36858,0.19594,1.69513,2.15464,1.78681,0.0006832,0.0006832,0.0006832
18,427.082,0.9566,1.21536,1.26733,0.51385,0.40037,0.3764,0.20416,1.69179,2.07926,1.75764,0.0006634,0.0006634,0.0006634
19,569.241,0.95224,1.1863,1.26251,0.52046,0.36597,0.36783,0.19455,1.73389,2.21244,1.83227,0.0006436,0.0006436,0.0006436
20,710.795,0.91969,1.13281,1.244,0.5153,0.37019,0.36771,0.20351,1.65823,2.20756,1.73838,0.0006238,0.0006238,0.0006238
21,141.393,0.93643,1.09804,1.23145,0.52564,0.36384,0.36516,0.19918,1.64244,2.18809,1.79049,0.000604,0.000604,0.000604
22,282.804,0.89574,1.07298,1.21745,0.52697,0.35903,0.36162,0.19905,1.65287,2.15325,1.77819,0.0005842,0.0005842,0.0005842
23,424.98,0.87793,1.03859,1.20915,0.54557,0.3782,0.38535,0.21154,1.66648,2.15499,1.78001,0.0005644,0.0005644,0.0005644
24,567.281,0.86775,0.9997,1.19861,0.51017,0.36564,0.36192,0.19282,1.70113,2.26154,1.77403,0.0005446,0.0005446,0.0005446
25,710.049,0.83348,0.95604,1.18433,0.5668,0.37942,0.39978,0.21788,1.66116,2.08247,1.76594,0.0005248,0.0005248,0.0005248
26,142.134,0.85235,0.93222,1.17316,0.54373,0.36745,0.37953,0.21425,1.62418,2.23296,1.76335,0.000505,0.000505,0.000505
27,284.407,0.82286,0.9112,1.16693,0.55772,0.38559,0.38656,0.21669,1.64773,2.31364,1.7663,0.0004852,0.0004852,0.0004852
28,426.803,0.80454,0.87721,1.15918,0.53938,0.38093,0.38047,0.20868,1.69904,2.36467,1.82012,0.0004654,0.0004654,0.0004654
29,569.273,0.80178,0.86431,1.15529,0.55836,0.36276,0.38057,0.20915,1.68988,2.33432,1.78121,0.0004456,0.0004456,0.0004456
30,711.289,0.76404,0.82599,1.13525,0.5227,0.36993,0.36587,0.20769,1.65345,2.36256,1.79119,0.0004258,0.0004258,0.0004258
31,141.984,0.77885,0.79783,1.12466,0.58669,0.35367,0.36735,0.19659,1.70013,2.4031,1.8258,0.000406,0.000406,0.000406
32,284.4,0.75352,0.75947,1.11729,0.52712,0.3964,0.38462,0.22116,1.61046,2.12721,1.7549,0.0003862,0.0003862,0.0003862
33,426.751,0.73369,0.7445,1.1113,0.54268,0.37499,0.37832,0.21301,1.65508,2.30414,1.78447,0.0003664,0.0003664,0.0003664
34,568.994,0.72706,0.72572,1.10756,0.56018,0.36986,0.38598,0.21696,1.65425,2.24902,1.78352,0.0003466,0.0003466,0.0003466
35,710.788,0.69851,0.69328,1.09213,0.54722,0.35462,0.36139,0.20014,1.69949,2.61532,1.8506,0.0003268,0.0003268,0.0003268
36,142.272,0.71356,0.68248,1.08223,0.56104,0.36629,0.3752,0.20559,1.67276,2.4656,1.82339,0.000307,0.000307,0.000307
37,284.729,0.69345,0.65227,1.07568,0.58726,0.36139,0.37668,0.21331,1.66006,2.37495,1.81295,0.0002872,0.0002872,0.0002872
38,427.028,0.66784,0.62226,1.06588,0.55194,0.36973,0.36945,0.20982,1.64588,2.45282,1.79986,0.0002674,0.0002674,0.0002674
39,569.334,0.65719,0.60725,1.06247,0.61136,0.35746,0.38806,0.21731,1.67582,2.32552,1.82946,0.0002476,0.0002476,0.0002476
40,711.412,0.62608,0.57402,1.04826,0.57759,0.3787,0.38101,0.2147,1.68944,2.37836,1.85304,0.0002278,0.0002278,0.0002278
41,142.026,0.87977,0.97275,1.23175,0.54306,0.40897,0.39796,0.22949,1.61427,2.06444,1.71649,0.000208,0.000208,0.000208
42,283.604,0.83114,0.87081,1.17856,0.57446,0.40008,0.41879,0.23896,1.61046,2.03276,1.71487,0.0001882,0.0001882,0.0001882
43,425.023,0.81984,0.83451,1.18555,0.56267,0.41188,0.42917,0.24614,1.59175,1.90332,1.68472,0.0001684,0.0001684,0.0001684
44,566.769,0.80733,0.78294,1.16484,0.59935,0.40094,0.42761,0.24632,1.57914,1.98111,1.67346,0.0001486,0.0001486,0.0001486
45,708.376,0.7974,0.78108,1.16236,0.56609,0.38782,0.396,0.22917,1.57027,2.02379,1.67096,0.0001288,0.0001288,0.0001288
46,142.087,0.66269,0.63542,1.06238,0.55977,0.3756,0.38076,0.21599,1.62936,2.40625,1.75026,0.000109,0.000109,0.000109
47,284.464,0.61325,0.55887,1.03824,0.59745,0.36391,0.38828,0.21972,1.62946,2.38728,1.78808,8.92e-05,8.92e-05,8.92e-05
48,426.762,0.59409,0.52393,1.02991,0.56659,0.38747,0.39758,0.23068,1.60807,2.37183,1.76098,6.94e-05,6.94e-05,6.94e-05
49,569.097,0.57569,0.50734,1.01939,0.62231,0.38447,0.41576,0.24583,1.58312,2.29973,1.74047,4.96e-05,4.96e-05,4.96e-05
50,711.043,0.54693,0.4775,1.00805,0.57592,0.39348,0.40843,0.23802,1.604,2.33062,1.75685,2.98e-05,2.98e-05,2.98e-05
