epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.451,1.35356,4.30364,0.01714,0.3187,0.1882,0.14722,0.07776,1.58614,3.69246,0.02524,0.000332667,0.000332667,0.000332667
2,238.968,1.3376,2.4853,0.0169,0.39118,0.3107,0.2693,0.15332,1.58045,2.84739,0.02386,0.00033633,0.00033633,0.00033633
3,270.442,1.29008,2.22823,0.01639,0.4605,0.33185,0.301,0.16901,1.64019,2.58323,0.02336,0.000339773,0.000339773,0.000339773
4,270.228,1.22543,1.90159,0.01541,0.45939,0.36011,0.32417,0.18538,1.62839,2.53891,0.02374,0.0002575,0.0002575,0.0002575
5,198.919,1.56099,2.77807,0.02202,0.24119,0.23484,0.13265,0.05391,1.93851,3.40261,0.03178,0.0009208,0.0009208,0.0009208
6,596.058,1.52153,2.63851,0.02058,0.3303,0.2753,0.19356,0.0949,1.85555,3.09969,0.02919,0.000901,0.000901,0.000901
7,190.39,1.53416,2.62702,0.02125,0.30934,0.2258,0.15932,0.07932,1.87775,3.26461,0.03014,0.0008812,0.0008812,0.0008812
8,379.403,1.45611,2.37565,0.01949,0.31591,0.24296,0.17811,0.08345,1.87308,3.23351,0.02952,0.0008614,0.0008614,0.0008614
9,568.681,1.43273,2.35624,0.01922,0.34679,0.29167,0.21899,0.10843,1.80823,2.91777,0.02796,0.0008416,0.0008416,0.0008416
10,757.742,1.39767,2.28376,0.01876,0.3683,0.28313,0.22663,0.11524,1.77308,2.79963,0.02737,0.0008218,0.0008218,0.0008218
11,946.727,1.35947,2.19796,0.0186,0.40959,0.28726,0.26473,0.13953,1.79303,2.74266,0.02723,0.000802,0.000802,0.000802
12,209.927,1.45657,2.45287,0.02203,0.34131,0.26631,0.21262,0.10087,1.9066,2.99579,0.02958,0.0007822,0.0007822,0.0007822
13,417.451,1.40489,2.30235,0.02122,0.38805,0.32035,0.2652,0.12726,1.86362,2.71608,0.02931,0.0007624,0.0007624,0.0007624
14,624.806,1.3687,2.25815,0.02059,0.39031,0.29192,0.26314,0.13993,1.75986,2.80047,0.02685,0.0007426,0.0007426,0.0007426
15,832.562,1.32469,2.16627,0.0202,0.44339,0.28104,0.25863,0.1253,1.87244,2.90764,0.03002,0.0007228,0.0007228,0.0007228
16,1040.51,1.30512,2.10521,0.01929,0.41965,0.30969,0.27697,0.14118,1.85012,2.69431,0.02842,0.000703,0.000703,0.000703
17,189.803,1.3447,1.97726,0.01752,0.50301,0.32939,0.33322,0.17871,1.82103,2.48818,0.02715,0.0006832,0.0006832,0.0006832
18,378.618,1.28176,1.86026,0.01614,0.47688,0.33201,0.31385,0.16486,1.8062,2.69668,0.02726,0.0006634,0.0006634,0.0006634
19,567.674,1.24571,1.82096,0.01585,0.44448,0.31595,0.28161,0.15094,1.7737,2.73279,0.02726,0.0006436,0.0006436,0.0006436
20,757.304,1.23482,1.78544,0.01581,0.48544,0.37013,0.34229,0.18521,1.76069,2.43719,0.02604,0.0006238,0.0006238,0.0006238
21,946.577,1.20831,1.72252,0.01577,0.50836,0.37434,0.37106,0.20083,1.7968,2.48252,0.02632,0.000604,0.000604,0.000604
22,189.677,1.22463,1.64347,0.01529,0.51796,0.34047,0.35419,0.19793,1.743,2.53844,0.02572,0.0005842,0.0005842,0.0005842
23,439.494,1.19216,1.56964,0.0146,0.53385,0.37149,0.37631,0.20191,1.77831,2.46765,0.0264,0.0005644,0.0005644,0.0005644
24,688.182,1.16764,1.52532,0.01459,0.52196,0.35143,0.34253,0.18847,1.73149,2.67141,0.02533,0.0005446,0.0005446,0.0005446
